"customer_key","year_birth","age_in_2014","generation","education","marital_status","living_situation","income","kidhome","teenhome","dt_customer","is_parent","household_size","age_group"
"100049","1954","60","Baby Boomer","PhD","Married","Partner","72550","1","1","2012-08-11 00:00:00","true","4","60s"
"100050","1957","57","Baby Boomer","Graduate","Widow","Alone","65486","0","1","2014-12-05 00:00:00","true","2","50s"
"100051","1964","50","","Master","Married","Partner","79143","0","0","2012-11-08 00:00:00","false","2","50s"
"100052","1977","37","Gen X","Graduate","Single","Alone","35790","1","0","2013-02-01 00:00:00","true","2","30s"
"100053","1977","37","Gen X","Graduate","Divorced","Alone","82582","0","0","2014-07-06 00:00:00","false","1","30s"
"100054","1978","36","Gen X","Graduate","Married","Partner","66373","1","1","2013-12-06 00:00:00","true","4","30s"
"100055","1955","59","Baby Boomer","Master","Together","Partner","82384","0","0","2012-11-19 00:00:00","false","2","50s"
"100056","1966","48","Gen X","Graduate","Divorced","Alone","70287","0","0","2013-02-04 00:00:00","false","1","40s"
"100057","1988","26","Millennial","Graduate","Single","Alone","27938","1","0","2014-04-28 00:00:00","true","2","20s"
"100058","1982","32","Millennial","Graduate","Single","Alone","51381","1","0","2013-06-17 00:00:00","true","2","30s"
"100059","1968","46","Gen X","PhD","Married","Partner","55954","0","1","2014-03-03 00:00:00","true","3","40s"
"100060","1982","32","Millennial","Master","Single","Alone","75777","0","0","2013-04-07 00:00:00","false","1","30s"
"100061","1975","39","Gen X","Graduate","Together","Partner","66653","1","1","2012-07-09 00:00:00","true","4","30s"
"100062","1952","62","Baby Boomer","Graduate","Single","Alone","61823","0","1","2013-02-18 00:00:00","true","2","60s"
"100063","1951","63","Baby Boomer","PhD","Widow","Alone","67680","0","1","2013-11-06 00:00:00","true","2","60s"
"100064","1948","66","Baby Boomer","Graduate","Together","Partner","70666","0","0","2013-06-12 00:00:00","false","2","60s"
"100065","1971","43","Gen X","Graduate","Married","Partner","25721","1","0","2013-05-21 00:00:00","true","3","40s"
"100066","1967","47","Gen X","Graduate","Together","Partner","32474","1","1","2014-11-05 00:00:00","true","4","40s"
"100067","1979","35","Gen X","Undergraduate","Single","Alone","88194","0","1","2014-03-19 00:00:00","true","2","30s"
"100068","1958","56","Baby Boomer","Graduate","Together","Partner","69096","0","1","2013-09-27 00:00:00","true","3","50s"
"100069","1970","44","Gen X","Graduate","Together","Partner","74854","1","2","2013-08-04 00:00:00","true","5","40s"
"100070","1954","60","Baby Boomer","Master","Married","Partner","66991","0","0","2012-11-09 00:00:00","false","2","60s"
"100071","1973","41","Gen X","Undergraduate","Married","Partner","51381","1","0","2012-09-14 00:00:00","true","3","40s"
"100072","1959","55","Baby Boomer","Graduate","Married","Partner","65031","0","1","2013-03-17 00:00:00","true","3","50s"
"100073","1975","39","Gen X","PhD","Married","Partner","60631","1","1","2013-05-04 00:00:00","true","4","30s"
"100074","1952","62","Baby Boomer","Graduate","Married","Partner","28332","0","0","2014-04-30 00:00:00","false","2","60s"
"100075","1977","37","Gen X","Graduate","Divorced","Alone","40246","1","0","2012-12-19 00:00:00","true","2","30s"
"100076","1972","42","Gen X","Master","Married","Partner","75251","0","0","2012-08-27 00:00:00","false","2","40s"
"100077","1976","38","Gen X","Graduate","Single","Alone","75825","0","0","2012-12-10 00:00:00","false","1","30s"
"100078","1976","38","Gen X","Undergraduate","Together","Partner","26326","0","0","2013-04-09 00:00:00","false","2","30s"
"100079","1965","49","Gen X","Graduate","Together","Partner","56046","0","0","2013-02-01 00:00:00","false","2","40s"
"100080","1985","29","Millennial","Graduate","Single","Alone","29760","1","0","2012-08-29 00:00:00","true","2","20s"
"100081","1969","45","Gen X","Graduate","Married","Partner","26304","1","0","2013-06-23 00:00:00","true","3","40s"
"100082","1973","41","Gen X","Undergraduate","Married","Partner","23559","1","0","2013-03-07 00:00:00","true","3","40s"
"100083","1987","27","Millennial","Graduate","Divorced","Alone","81361","0","0","2014-02-25 00:00:00","false","1","20s"
"100084","1960","54","Baby Boomer","Graduate","Married","Partner","29440","1","1","2013-11-08 00:00:00","true","4","50s"
"100085","1970","44","Gen X","Master","Married","Partner","36138","1","1","2013-07-16 00:00:00","true","4","40s"
"100086","1957","57","Baby Boomer","Graduate","Single","Alone","50388","0","1","2014-05-28 00:00:00","true","2","50s"
"100087","1973","41","Gen X","Graduate","Married","Partner","79593","0","0","2014-12-05 00:00:00","false","2","40s"
"100088","1967","47","Gen X","Graduate","Together","Partner","54178","0","1","2014-01-21 00:00:00","true","3","40s"
"100089","1957","57","Baby Boomer","PhD","Married","Partner","51381","2","1","2012-11-19 00:00:00","true","5","50s"
"100090","1957","57","Baby Boomer","Graduate","Single","Alone","51381","1","1","2014-05-27 00:00:00","true","3","50s"
"100091","1973","41","Gen X","Master","Together","Partner","51381","0","0","2013-11-23 00:00:00","false","2","40s"
"100092","1972","42","Gen X","Master","Single","Alone","42394","1","0","2014-03-23 00:00:00","true","2","40s"
"100093","1970","44","Gen X","PhD","Married","Partner","23626","1","0","2014-05-24 00:00:00","true","3","40s"
"100094","1983","31","Millennial","Graduate","Married","Partner","30096","1","0","2014-05-22 00:00:00","true","3","30s"
"100095","1960","54","Baby Boomer","Graduate","Widow","Alone","47916","0","1","2012-11-22 00:00:00","true","2","50s"
"100096","1972","42","Gen X","Graduate","Divorced","Alone","51813","1","1","2013-11-04 00:00:00","true","3","40s"
"100097","1951","63","Baby Boomer","Undergraduate","Married","Partner","78497","0","0","2013-01-12 00:00:00","false","2","60s"
"100098","1983","31","Millennial","PhD","Married","Partner","50150","0","0","2013-06-20 00:00:00","false","2","30s"
"100099","1960","54","Baby Boomer","Undergraduate","Single","Alone","47823","0","1","2013-07-23 00:00:00","true","2","50s"
"100100","1959","55","Baby Boomer","PhD","Single","Alone","34554","0","1","2014-03-30 00:00:00","true","2","50s"
"100101","1979","35","Gen X","Graduate","Together","Partner","85693","0","1","2013-04-20 00:00:00","true","3","30s"
"100102","1945","69","","PhD","Married","Partner","65846","0","0","2013-05-17 00:00:00","false","2","60s"
"100103","1959","55","Baby Boomer","Graduate","Married","Partner","87195","0","0","2014-08-05 00:00:00","false","2","50s"
"100104","1979","35","Gen X","High School","Together","Partner","24594","1","0","2013-10-12 00:00:00","true","3","30s"
"100105","1964","50","","Graduate","Married","Partner","49096","1","1","2013-09-24 00:00:00","true","4","50s"
"100106","1969","45","Gen X","Graduate","Married","Partner","52413","0","2","2013-02-02 00:00:00","true","4","40s"
"100107","1978","36","Gen X","Graduate","Single","Alone","38557","1","0","2012-12-19 00:00:00","true","2","30s"
"100108","1960","54","Baby Boomer","Master","Married","Partner","89058","0","0","2012-07-12 00:00:00","false","2","50s"
"100109","1979","35","Gen X","Graduate","Together","Partner","77298","0","1","2013-02-11 00:00:00","true","3","30s"
"100110","1991","23","Millennial","PhD","Single","Alone","68126","0","0","2012-10-11 00:00:00","false","1","20s"
"100111","1963","51","Baby Boomer","Master","Together","Partner","57288","0","1","2014-06-25 00:00:00","true","3","50s"
"100112","1991","23","Millennial","Graduate","Single","Alone","86037","0","0","2013-02-01 00:00:00","false","1","20s"
"100113","1980","34","","PhD","Married","Partner","43974","1","0","2012-12-12 00:00:00","true","3","30s"
"100114","1962","52","Baby Boomer","Graduate","Single","Alone","50785","1","1","2013-10-09 00:00:00","true","3","50s"
"100115","1970","44","Gen X","Graduate","Married","Partner","90765","0","0","2014-01-24 00:00:00","false","2","40s"
"100116","1978","36","Gen X","Undergraduate","Married","Partner","36550","1","0","2013-02-19 00:00:00","true","3","30s"
"100117","1967","47","Gen X","Undergraduate","Together","Partner","30753","1","1","2013-11-07 00:00:00","true","4","40s"
"100118","1969","45","Gen X","Graduate","Together","Partner","21918","1","0","2013-11-14 00:00:00","true","3","40s"
"100119","1953","61","Baby Boomer","Master","Together","Partner","56129","0","1","2013-06-20 00:00:00","true","3","60s"
"100120","1967","47","Gen X","Master","Single","Alone","32557","1","0","2014-02-24 00:00:00","true","2","40s"
"100121","1985","29","Millennial","Master","Married","Partner","19510","2","0","2013-04-09 00:00:00","true","4","20s"
"100122","1976","38","Gen X","Graduate","Divorced","Alone","30992","1","0","2013-04-22 00:00:00","true","2","30s"
"100123","1983","31","Millennial","Graduate","Single","Alone","101970","0","0","2013-12-03 00:00:00","false","1","30s"
"100124","1965","49","Gen X","Undergraduate","Together","Partner","71488","0","0","2013-02-18 00:00:00","false","2","40s"
"100125","1984","30","Millennial","Graduate","Single","Alone","79607","0","0","2013-04-21 00:00:00","false","1","30s"
"100126","1953","61","Baby Boomer","Master","Married","Partner","54348","1","1","2014-08-06 00:00:00","true","4","60s"
"100127","1961","53","Baby Boomer","PhD","Married","Partner","51381","0","1","2013-11-07 00:00:00","true","3","50s"
"100128","1956","58","Baby Boomer","PhD","Together","Partner","77376","1","1","2014-10-05 00:00:00","true","4","50s"
"100129","1952","62","Baby Boomer","Graduate","Married","Partner","62998","0","1","2013-09-30 00:00:00","true","3","60s"
"100130","1958","56","Baby Boomer","Master","Alone","Alone","61331","1","1","2013-10-03 00:00:00","true","3","50s"
"100131","1969","45","Gen X","Graduate","Married","Partner","73448","0","0","2014-10-02 00:00:00","false","2","40s"
"100132","1963","51","Baby Boomer","Graduate","Married","Partner","51381","0","1","2013-11-08 00:00:00","true","3","50s"
"100133","1964","50","","PhD","Married","Partner","41551","1","1","2013-08-14 00:00:00","true","4","50s"
"100134","1967","47","Gen X","PhD","Together","Partner","62981","0","0","2013-03-17 00:00:00","false","2","40s"
"100135","1976","38","Gen X","High School","Divorced","Alone","9548","1","0","2012-08-08 00:00:00","true","2","30s"
"100136","1959","55","Baby Boomer","PhD","Married","Partner","33762","2","1","2013-07-07 00:00:00","true","5","50s"
"100137","1973","41","Gen X","PhD","Alone","Alone","35860","1","1","2014-05-19 00:00:00","true","3","40s"
"100138","1965","49","Gen X","PhD","Divorced","Alone","36921","1","1","2013-07-28 00:00:00","true","3","40s"
"100139","1992","22","Millennial","Master","Single","Alone","92859","0","0","2012-10-19 00:00:00","false","1","20s"
"100140","1976","38","Gen X","Master","Together","Partner","65104","0","1","2013-11-14 00:00:00","true","3","30s"
"100141","1962","52","Baby Boomer","Graduate","Married","Partner","86111","0","0","2013-04-19 00:00:00","false","2","50s"
"100142","1974","40","Gen X","PhD","Single","Alone","68352","0","1","2013-08-28 00:00:00","true","2","40s"
"100143","1988","26","Millennial","Graduate","Together","Partner","41883","1","0","2013-03-19 00:00:00","true","3","20s"
"100144","1976","38","Gen X","Graduate","Married","Partner","59809","0","2","2012-10-18 00:00:00","true","4","30s"
"100145","1975","39","Gen X","Graduate","Married","Partner","23957","1","0","2012-10-28 00:00:00","true","3","30s"
"100146","1981","33","Millennial","Graduate","Together","Partner","38547","1","0","2013-08-28 00:00:00","true","3","30s"
"100147","1973","41","Gen X","Undergraduate","Married","Partner","35688","2","1","2012-08-22 00:00:00","true","5","40s"
"100148","1966","48","Gen X","Master","Married","Partner","49605","0","0","2014-06-21 00:00:00","false","2","40s"
"100149","1953","61","Baby Boomer","Master","Married","Partner","59354","0","2","2014-04-24 00:00:00","true","4","60s"
"100150","1969","45","Gen X","Graduate","Married","Partner","65747","0","1","2014-07-03 00:00:00","true","3","40s"
"100151","1972","42","Gen X","Undergraduate","Together","Partner","46344","0","1","2012-12-14 00:00:00","true","3","40s"
"100152","1988","26","Millennial","Graduate","Alone","Alone","34176","1","0","2014-12-05 00:00:00","true","2","20s"
"100153","1952","62","Baby Boomer","PhD","Together","Partner","61010","0","1","2012-09-10 00:00:00","true","3","60s"
"100154","1949","65","Baby Boomer","Graduate","Together","Partner","69372","0","0","2013-02-19 00:00:00","false","2","60s"
"100155","1958","56","Baby Boomer","Graduate","Single","Alone","49967","0","1","2013-08-07 00:00:00","true","2","50s"
"100156","1978","36","Gen X","Graduate","Single","Alone","60199","1","2","2013-12-09 00:00:00","true","4","30s"
"100157","1977","37","Gen X","Graduate","Together","Partner","55375","0","1","2013-10-17 00:00:00","true","3","30s"
"100158","1955","59","Baby Boomer","Graduate","Single","Alone","80317","0","0","2013-08-20 00:00:00","false","1","50s"
"100159","1958","56","Baby Boomer","Master","Single","Alone","30523","2","1","2013-01-07 00:00:00","true","4","50s"
"100160","1945","69","","PhD","Married","Partner","70356","0","0","2012-05-11 00:00:00","false","2","60s"
"100161","1984","30","Millennial","Graduate","Married","Partner","23228","1","0","2014-05-01 00:00:00","true","3","30s"
"100162","1975","39","Gen X","PhD","Divorced","Alone","74165","0","0","2013-01-05 00:00:00","false","1","30s"
"100163","1973","41","Gen X","PhD","Married","Partner","157243","0","1","2014-01-03 00:00:00","true","3","40s"
"100164","1966","48","Gen X","Graduate","Together","Partner","43482","2","1","2013-11-13 00:00:00","true","5","40s"
"100165","1953","61","Baby Boomer","Graduate","Divorced","Alone","62551","0","0","2013-11-18 00:00:00","false","1","60s"
"100166","1959","55","Baby Boomer","Graduate","Divorced","Alone","52332","0","0","2013-08-28 00:00:00","false","1","50s"
"100167","1988","26","Millennial","Graduate","Single","Alone","66951","0","0","2013-02-11 00:00:00","false","1","20s"
"100168","1957","57","Baby Boomer","Graduate","Together","Partner","26091","1","1","2014-02-25 00:00:00","true","4","50s"
"100169","1965","49","Gen X","Graduate","Together","Partner","33456","1","1","2014-04-21 00:00:00","true","4","40s"
"100170","1982","32","Millennial","Graduate","Married","Partner","28718","1","0","2013-07-13 00:00:00","true","3","30s"
"100171","1970","44","Gen X","Graduate","Married","Partner","50447","2","0","2014-04-21 00:00:00","true","4","40s"
"100172","1959","55","Baby Boomer","PhD","Together","Partner","53537","1","1","2014-01-30 00:00:00","true","4","50s"
"100173","1967","47","Gen X","Graduate","Single","Alone","52074","0","1","2014-04-04 00:00:00","true","2","40s"
"100174","1975","39","Gen X","PhD","Married","Partner","80427","0","1","2012-12-09 00:00:00","true","3","30s"
"100175","1948","66","Baby Boomer","PhD","Married","Partner","83837","0","0","2012-12-16 00:00:00","false","2","60s"
"100176","1970","44","Gen X","PhD","Married","Partner","38853","1","1","2014-05-23 00:00:00","true","4","40s"
"100177","1959","55","Baby Boomer","Graduate","Together","Partner","38285","2","1","2014-06-24 00:00:00","true","5","50s"
"100178","1976","38","Gen X","PhD","Married","Partner","51650","0","1","2014-11-05 00:00:00","true","3","30s"
"100179","1988","26","Millennial","Undergraduate","Married","Partner","16248","1","0","2014-10-05 00:00:00","true","3","20s"
"100180","1946","68","Baby Boomer","Master","Married","Partner","66835","0","0","2013-09-28 00:00:00","false","2","60s"
"100181","1984","30","Millennial","Master","Married","Partner","30477","1","0","2014-01-22 00:00:00","true","3","30s"
"100182","1961","53","Baby Boomer","High School","Married","Partner","28249","0","0","2014-06-15 00:00:00","false","2","50s"
"100183","1983","31","Millennial","Graduate","Married","Partner","25271","1","0","2012-05-12 00:00:00","true","3","30s"
"100184","1970","44","Gen X","PhD","Single","Alone","32303","0","1","2014-08-03 00:00:00","true","2","40s"
"100185","1966","48","Gen X","Graduate","Married","Partner","61286","0","1","2013-02-08 00:00:00","true","3","40s"
"100186","1976","38","Gen X","Graduate","Married","Partner","74068","0","0","2013-03-19 00:00:00","false","2","30s"
"100187","1964","50","","PhD","Married","Partner","45759","1","1","2013-02-23 00:00:00","true","4","50s"
"100188","1978","36","Gen X","High School","Together","Partner","24882","1","0","2012-09-09 00:00:00","true","3","30s"
"100189","1989","25","Millennial","PhD","Together","Partner","66973","0","0","2013-05-17 00:00:00","false","2","20s"
"100190","1988","26","Millennial","Graduate","Married","Partner","38872","1","0","2013-05-30 00:00:00","true","3","20s"
"100191","1973","41","Gen X","Graduate","Married","Partner","51148","1","1","2013-02-18 00:00:00","true","4","40s"
"100192","1977","37","Gen X","Graduate","Married","Partner","31353","1","1","2013-12-29 00:00:00","true","4","30s"
"100193","1980","34","","Master","Married","Partner","69661","0","0","2014-05-13 00:00:00","false","2","30s"
"100194","1954","60","Baby Boomer","Graduate","Married","Partner","80067","0","0","2013-09-19 00:00:00","false","2","60s"
"100195","1954","60","Baby Boomer","Graduate","Married","Partner","86718","0","0","2013-01-17 00:00:00","false","2","60s"
"100196","1973","41","Gen X","PhD","Single","Alone","46854","1","1","2014-03-31 00:00:00","true","3","40s"
"100197","1952","62","Baby Boomer","Graduate","Divorced","Alone","69142","0","1","2014-06-29 00:00:00","true","2","60s"
"100198","1968","46","Gen X","Graduate","Single","Alone","75922","0","0","2013-09-12 00:00:00","false","1","40s"
"100199","1978","36","Gen X","Graduate","Divorced","Alone","63693","0","1","2013-10-14 00:00:00","true","2","30s"
"100200","1977","37","Gen X","PhD","Together","Partner","102160","0","0","2012-02-11 00:00:00","false","2","30s"
"100201","1965","49","Gen X","PhD","Single","Alone","40637","1","1","2013-07-17 00:00:00","true","3","40s"
"100202","1984","30","Millennial","Master","Single","Alone","18890","0","0","2012-10-11 00:00:00","false","1","30s"
"100203","1988","26","Millennial","Graduate","Together","Partner","29604","1","0","2013-08-12 00:00:00","true","3","20s"
"100204","1963","51","Baby Boomer","Master","Divorced","Alone","48721","1","1","2013-05-13 00:00:00","true","3","50s"
"100205","1966","48","Gen X","Graduate","Married","Partner","44794","0","1","2014-08-06 00:00:00","true","3","40s"
"100206","1954","60","Baby Boomer","Graduate","Divorced","Alone","64497","0","1","2012-10-09 00:00:00","true","2","60s"
"100207","1956","58","Baby Boomer","Graduate","Together","Partner","46097","0","1","2013-03-31 00:00:00","true","3","50s"
"100208","1954","60","Baby Boomer","Graduate","Together","Partner","77972","0","0","2014-03-18 00:00:00","false","2","60s"
"100209","1968","46","Gen X","PhD","Married","Partner","44377","1","1","2012-05-10 00:00:00","true","4","40s"
"100210","1974","40","Gen X","Master","Together","Partner","46014","1","1","2013-01-21 00:00:00","true","4","40s"
"100211","1985","29","Millennial","Graduate","Married","Partner","70951","0","0","2013-04-05 00:00:00","false","2","20s"
"100212","1977","37","Gen X","Graduate","Married","Partner","41443","1","0","2014-01-04 00:00:00","true","3","30s"
"100213","1978","36","Gen X","Undergraduate","Single","Alone","52195","2","1","2014-12-05 00:00:00","true","4","30s"
"100214","1948","66","Baby Boomer","Master","Married","Partner","83790","0","0","2013-11-15 00:00:00","false","2","60s"
"100215","1954","60","Baby Boomer","Master","Widow","Alone","44551","0","1","2013-08-31 00:00:00","true","2","60s"
"100216","1980","34","","Graduate","Together","Partner","69508","1","0","2012-11-14 00:00:00","true","3","30s"
"100217","1988","26","Millennial","Undergraduate","Together","Partner","45204","1","0","2014-11-04 00:00:00","true","3","20s"
"100218","1969","45","Gen X","Graduate","Married","Partner","72460","0","0","2013-11-14 00:00:00","false","2","40s"
"100219","1970","44","Gen X","PhD","Together","Partner","77622","0","2","2014-04-14 00:00:00","true","4","40s"
"100220","1980","34","","PhD","Married","Partner","30732","1","0","2013-05-01 00:00:00","true","3","30s"
"100221","1962","52","Baby Boomer","Graduate","Divorced","Alone","63887","0","1","2012-08-09 00:00:00","true","2","50s"
"100222","1978","36","Gen X","Graduate","Together","Partner","42011","1","0","2013-03-26 00:00:00","true","3","30s"
"100223","1976","38","Gen X","Graduate","Together","Partner","51369","0","1","2012-10-25 00:00:00","true","3","30s"
"100224","1952","62","Baby Boomer","Graduate","Divorced","Alone","51537","0","1","2012-09-12 00:00:00","true","2","60s"
"100225","1972","42","Gen X","PhD","Married","Partner","79930","0","0","2012-08-08 00:00:00","false","2","40s"
"100226","1986","28","Millennial","PhD","Together","Partner","34320","1","0","2014-02-16 00:00:00","true","3","20s"
"100227","1966","48","Gen X","Graduate","Single","Alone","37070","1","1","2013-03-20 00:00:00","true","3","40s"
"100228","1962","52","Baby Boomer","Undergraduate","Divorced","Alone","81975","0","1","2013-05-01 00:00:00","true","2","50s"
"100229","1971","43","Gen X","Graduate","Together","Partner","38590","1","0","2013-05-15 00:00:00","true","3","40s"
"100230","1951","63","Baby Boomer","Graduate","Single","Alone","15033","0","0","2014-04-16 00:00:00","false","1","60s"
"100231","1965","49","Gen X","PhD","Married","Partner","62745","0","1","2013-03-23 00:00:00","true","3","40s"
"100232","1975","39","Gen X","Undergraduate","Married","Partner","22212","1","0","2013-09-12 00:00:00","true","3","30s"
"100233","1982","32","Millennial","Master","Together","Partner","23661","1","0","2013-04-12 00:00:00","true","3","30s"
"100234","1958","56","Baby Boomer","PhD","Single","Alone","79761","0","1","2013-04-10 00:00:00","true","2","50s"
"100235","1973","41","Gen X","Graduate","Single","Alone","7500","1","0","2013-12-26 00:00:00","true","2","40s"
"100236","1968","46","Gen X","Graduate","Widow","Alone","73455","0","0","2013-10-28 00:00:00","false","1","40s"
"100237","1958","56","Baby Boomer","Graduate","Together","Partner","64961","0","1","2012-12-23 00:00:00","true","3","50s"
"100238","1971","43","Gen X","Graduate","Single","Alone","22804","1","0","2013-07-31 00:00:00","true","2","40s"
"100239","1990","24","Millennial","Graduate","Married","Partner","73687","0","0","2013-11-28 00:00:00","false","2","20s"
"100240","1958","56","Baby Boomer","Graduate","Married","Partner","61074","0","1","2012-08-17 00:00:00","true","3","50s"
"100241","1964","50","","PhD","Married","Partner","31686","1","1","2014-05-06 00:00:00","true","4","50s"
"100242","1972","42","Gen X","Graduate","Married","Partner","80134","1","0","2013-05-20 00:00:00","true","3","40s"
"100243","1953","61","Baby Boomer","Graduate","Married","Partner","75027","0","1","2013-09-01 00:00:00","true","3","60s"
"100244","1988","26","Millennial","PhD","Married","Partner","67546","0","0","2012-08-31 00:00:00","false","2","20s"
"100245","1969","45","Gen X","Master","Together","Partner","65176","0","1","2012-10-29 00:00:00","true","3","40s"
"100246","1975","39","Gen X","Master","Single","Alone","31160","1","0","2013-09-16 00:00:00","true","2","30s"
"100247","1985","29","Millennial","Graduate","Single","Alone","29938","1","0","2013-10-27 00:00:00","true","2","20s"
"100248","1974","40","Gen X","Graduate","Divorced","Alone","102692","0","0","2013-05-04 00:00:00","false","1","40s"
"100249","1958","56","Baby Boomer","Undergraduate","Together","Partner","26490","0","0","2012-09-22 00:00:00","false","2","50s"
"100250","1967","47","Gen X","Graduate","Together","Partner","75702","1","1","2012-08-29 00:00:00","true","4","40s"
"100251","1974","40","Gen X","PhD","Single","Alone","30899","1","0","2012-10-13 00:00:00","true","2","40s"
"100252","1961","53","Baby Boomer","PhD","Together","Partner","63342","0","1","2012-10-16 00:00:00","true","3","50s"
"100253","1964","50","","Graduate","Single","Alone","45989","0","1","2012-10-22 00:00:00","true","2","50s"
